Date,FF,FG,Lab,SF,Ind
May 2006,36,25,13,8,17
October 2006,44,23,10,7,16
November 2006,46,24,10,6,14
January 2007,43,23,10,8,16
April 2007,39,28,9,10,14
May 10 2007,41,25,12,9,13
May 20 2007,46,24,9,9,12
May 24 2007,42,27,10,7,14
October 2007,38,28,13,8,13
January 2008,39,28,11,9,13
May 2008,47,24,13,7,10
June 2008,47,20,13,9,11
November 2008,32,32,13,9,14
February 2009,26,30,22,10,12
May 14 2009,24,36,18,10,12
May 29 2009,23,34,21,10,12
September 2 2009,20,33,22,11,14
September 24 2009,23,29,23,11,14
January 2010,26,30,22,9,13
June 2010,21,27,29,10,13
September 2010,24,24,33,8,11
December 2010,17,30,25,15,13
February 01 2011,15,33,24,12,16
February 18 2011,16,37,19,11,17
February 25 2011,17,36,19,10,17
July 2011,18,38,18,10,16
October 4 2011,16,35,17,18,14
October 21 2011,15,36,19,15,15
April 2012,14,33,13,21,19
May 2012,17,32,10,24,17
October 2012,21,31,12,20,16
February 2013,26,25,10,18,21
June 2013,26,24,9,21,20
September 2013,22,26,6,23,23
December 2013,22,30,9,21,18
April 2014,25,25,8,21,21
May 2014,25,24,7,20,24
October 2014,20,24,9,24,23
Dec-14,21,19,6,22,32
